feat_name,imp
feat_0,13.3436942857
feat_1,15.800973571400002
feat_2,21.0843816667
feat_3,48.5161874074
feat_4,113.18283999999998
feat_5,19.0311508852
feat_6,31.0144289552
feat_7,44.0083055556
feat_8,21.79879273
feat_9,18.5955840707
feat_10,40.70143425
feat_11,44.3106395238
feat_12,58.8463938636
feat_13,26.846384736799997
feat_14,17.89738
feat_15,20.8532046377
feat_16,109.927572857
feat_17,45.3217483929
feat_18,30.324107931
feat_19,19.0750985714
feat_20,15.9053894444
feat_21,43.1775085
feat_22,16.1404971724
feat_23,30.933264415700002
feat_24,25.120187
feat_25,19.1116620577
feat_26,23.112241081100002
feat_27,175.000243176
feat_28,39.8828694737
feat_29,54.21781872729999
feat_30,23.4141987356
feat_31,30.3297
feat_32,39.556396
feat_33,18.1330640678
feat_34,44.2011352174
feat_35,20.492
feat_36,14.839914088099999
feat_37,24.425098869
feat_38,23.087398800000006
feat_39,15.864219090899999
feat_40,36.5840980508
feat_41,52.3627042029
feat_42,17.157752380999998
feat_43,159.114082
feat_44,30.9611028058
feat_45,46.2027222222
feat_46,37.8220857851
feat_47,45.8025334091
feat_48,50.6727130435
feat_49,55.133470512799995
feat_50,33.0315573684
feat_51,23.7468116667
feat_52,11.451292186
feat_53,31.55620125
feat_54,16.6248694444
feat_55,29.06870825
feat_56,24.9980913953
feat_57,15.538474
feat_58,16.471437055
feat_59,20.3773357143
feat_60,23.528037551
feat_61,65.3004364286
feat_62,45.0990146667
feat_63,17.89653
feat_64,16.2706778333
feat_65,18.4892417005
feat_66,24.78189
feat_67,162.19046175399998
feat_68,34.09889375
feat_69,24.2538968056
feat_70,430.755799091
feat_71,36.1628342105
feat_72,96.30485301739999
feat_73,26.820805714299997
feat_74,13.4593211864
feat_75,65.3470578947
feat_76,26.874275
feat_77,60.66391
feat_78,18.2826344444
feat_79,139.530246267
